,address,city,area,rooms,bathrooms,garage,amenites,price_sale,price_rent,condo,crawled_at
0,"Rua Napoleão Dórea, 723 - Atalaia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Elevador Aceita animais Ar-condicionado ...,R$ 220.000 /mês,R$ 220.000 /mês,R$ 450,2022-06-23 16:15
1,"Rua Professor José Freitas de Andrade, 428 - Coroa do Meio, Aracaju - SE",aracaju,99,4 Quartos,2 Banheiros,1 Vaga,Mobiliado Condomínio fechado Aceita animais Ar-condicionado Jardim ...,R$ 1.500 /mês,R$ 1.500 /mês,,2022-06-23 16:15
2,"Rua Matilde Silva Lima, 421 - Luzia, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Playground ...,R$ 800 /mês,R$ 800 /mês,R$ 375,2022-06-23 16:15
3,"Rua Jasiel de Brito Côrtes, 715 - Jabotiana, Aracaju - SE",aracaju,68,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.300 /mês,R$ 1.300 /mês,,2022-06-23 16:15
4,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,90,3 Quartos,2 Banheiros,1 Vaga,Jardim Condomínio fechado Portaria 24h Aceita animais,R$ 599 /mês,R$ 599 /mês,R$ 270,2022-06-23 16:15
5,"Avenida Deputado Sílvio Teixeira, 1105 - Jardins, Aracaju - SE",aracaju,113,3 Quartos,3 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 3.500 /mês,R$ 3.500 /mês,,2022-06-23 16:15
6,"Aeroporto, Aracaju - SE",aracaju,75,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Varanda Academia ...,R$ 2.200 /mês,R$ 2.200 /mês,R$ 400,2022-06-23 16:15
7,"Rua Quirino, 1145 - Inácio Barbosa, Aracaju - SE",aracaju,59,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Aceita animais ...,R$ 1.200 /mês,R$ 1.200 /mês,,2022-06-23 16:15
8,"Rua A, 150 - Farolândia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 2.000 /mês,R$ 2.000 /mês,R$ 350,2022-06-23 16:15
9,"Centro, Aracaju - SE",aracaju,122,3 Quartos,3 Banheiros,-- Vaga,Área de serviço,R$ 800 /mês,R$ 800 /mês,R$ 900,2022-06-23 16:15
10,"Avenida São João Batista, 1505 - Ponto Novo, Aracaju - SE",aracaju,60,3 Quartos,1 Banheiro,1 Vaga,Condomínio fechado Aceita animais Quadra poliesportiva Bicicletário Portaria 24h ...,R$ 650 /mês,R$ 650 /mês,R$ 160,2022-06-23 16:15
11,"Jardins, Aracaju - SE",aracaju,104,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Varanda Academia ...,R$ 1.800 /mês,R$ 1.800 /mês,R$ 710,2022-06-23 16:15
12,"Rua Itaporanga, 13 - Centro, Aracaju - SE",aracaju,45,2 Quartos,2 Banheiros,-- Vaga,None,R$ 800 /mês,R$ 800 /mês,,2022-06-23 16:15
13,"Rua Heráclito Muniz Barreto, 55 - Luzia, Aracaju - SE",aracaju,110,2 Quartos,3 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Aceita animais ...,R$ 900 /mês,R$ 900 /mês,R$ 650,2022-06-23 16:15
14,"Avenida Presidente Tancredo Neves, 3790 - Ponto Novo, Aracaju - SE",aracaju,48,2 Quartos,1 Banheiro,-- Vaga,Condomínio fechado Área de serviço,R$ 500 /mês,R$ 500 /mês,R$ 181,2022-06-23 16:15
15,"Jabotiana, Aracaju - SE",aracaju,51,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Varanda Academia ...,R$ 800 /mês,R$ 800 /mês,R$ 246,2022-06-23 16:15
16,"Rua José Seabra Batista, 255 - Jardins, Aracaju - SE",aracaju,210,4 Quartos,5 Banheiros,3 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 4.500 /mês,R$ 1.100.000,,2022-06-23 16:15
17,"Avenida Adelbrando Franco Menezes, 484846 - Inácio Barbosa, Aracaju - SE",aracaju,55,2 Quartos,1 Banheiro,1 Vaga,None,R$ 720 /mês,R$ 720 /mês,,2022-06-23 16:15
18,"Farolândia, Aracaju - SE",aracaju,70,3 Quartos,1 Banheiro,1 Vaga,Churrasqueira Piscina Playground Salão de jogos Salão de festas,R$ 1.200 /mês,R$ 1.200 /mês,R$ 390,2022-06-23 16:15
19,"Inácio Barbosa, Aracaju - SE",aracaju,48,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Academia Espaço gourmet Garagem ...,R$ 700 /mês,R$ 700 /mês,R$ 260,2022-06-23 16:15
20,"Avenida Presidente Tancredo Neves, 190 - Inácio Barbosa, Aracaju - SE",aracaju,110,2 Quartos,4 Banheiros,2 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio fechado ...,R$ 2.900 /mês,R$ 2.900 /mês,R$ 620,2022-06-23 16:15
21,"Avenida Deputado Sílvio Teixeira, 10 - Jardins, Aracaju - SE",aracaju,80,3 Quartos,1 Banheiro,1 Vaga,Condomínio fechado,R$ 750 /mês,R$ 750 /mês,R$ 345,2022-06-23 16:15
22,"Avenida São João Batista, 638 - Ponto Novo, Aracaju - SE",aracaju,70,3 Quartos,1 Banheiro,1 Vaga,Piscina Mobiliado Churrasqueira Condomínio fechado Área de serviço ...,R$ 1.200 /mês,R$ 1.200 /mês,R$ 380,2022-06-23 16:15
23,"Rua Tenente Waldir dos Santos, 0 - Farolândia, Aracaju - SE",aracaju,40,2 Quartos,1 Banheiro,1 Vaga,None,R$ 1.000 /mês,R$ 1.000 /mês,,2022-06-23 16:15
24,"Avenida Adelbrando Franco Menezes, 0481675 - Inácio Barbosa, Aracaju - SE",aracaju,55,2 Quartos,1 Banheiro,1 Vaga,None,R$ 720 /mês,R$ 720 /mês,,2022-06-23 16:15
25,"Travessa Juca Barreto, 93 - São José, Aracaju - SE",aracaju,143,3 Quartos,2 Banheiros,2 Vagas,Garagem Cozinha Elevador Área de serviço,R$ 1.300 /mês,R$ 280.000,R$ 770,2022-06-23 16:15
26,"Rua São Cristóvão, 212 - Centro, Aracaju - SE",aracaju,49,1 Quarto,1 Banheiro,-- Vaga,None,R$ 500 /mês,R$ 500 /mês,R$ 188,2022-06-23 16:15
27,"Rua Fátima Maria Chagas, 261 - Jabotiana, Aracaju - SE",aracaju,56,2 Quartos,1 Banheiro,1 Vaga,Garagem Cozinha Área de serviço,R$ 650 /mês,R$ 650 /mês,R$ 320,2022-06-23 16:15
28,"Coroa do Meio, Aracaju - SE",aracaju,80,3 Quartos,2 Banheiros,2 Vagas,Piscina Churrasqueira Varanda Academia Espaço gourmet ...,R$ 3.000 /mês,R$ 3.000 /mês,,2022-06-23 16:15
29,"Farolândia, Aracaju - SE",aracaju,52,2 Quartos,1 Banheiro,1 Vaga,None,R$ 650 /mês,R$ 650 /mês,,2022-06-23 16:15
30,"Avenida Adélia Franco, 3580 - Inácio Barbosa, Aracaju - SE",aracaju,68,3 Quartos,1 Banheiro,1 Vaga,Piscina Elevador Garagem Área de serviço Quadra poliesportiva ...,R$ 1.400 /mês,R$ 300.000,R$ 375,2022-06-23 16:15
31,"Rua Anna Dulce Vieira de Carvalho, 130 - Jardins, Aracaju - SE",aracaju,80,2 Quartos,1 Banheiro,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Área de serviço ...,R$ 2.500 /mês,R$ 2.500 /mês,R$ 630,2022-06-23 16:15
32,"Treze de Julho, Aracaju - SE",aracaju,156,3 Quartos,3 Banheiros,1 Vaga,Área de serviço,R$ 1.100 /mês,Preço abaixo do mercado,R$ 500,2022-06-23 16:15
33,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,80,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 750 /mês,R$ 750 /mês,R$ 400,2022-06-23 16:15
34,"Rua José Araújo Neto, 323 - São Conrado, Aracaju - SE",aracaju,67,3 Quartos,1 Banheiro,1 Vaga,Condomínio fechado Aceita animais,R$ 650 /mês,R$ 650 /mês,,2022-06-23 16:15
35,"Rua Eliza Correia Oliveira, 1697 - Aruana, Aracaju - SE",aracaju,68,3 Quartos,2 Banheiros,1 Vaga,None,R$ 1.500 /mês,R$ 1.500 /mês,R$ 274,2022-06-23 16:15
36,"Rua Napoleão Dórea, 723 - Atalaia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Elevador Aceita animais Ar-condicionado ...,R$ 220.000 /mês,R$ 220.000 /mês,R$ 450,2022-06-23 16:15
37,"Rua Professor José Freitas de Andrade, 428 - Coroa do Meio, Aracaju - SE",aracaju,99,4 Quartos,2 Banheiros,1 Vaga,Mobiliado Condomínio fechado Aceita animais Ar-condicionado Jardim ...,R$ 1.500 /mês,R$ 1.500 /mês,,2022-06-23 16:15
38,"Rua Matilde Silva Lima, 421 - Luzia, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Playground ...,R$ 800 /mês,R$ 800 /mês,R$ 375,2022-06-23 16:15
39,"Rua Jasiel de Brito Côrtes, 715 - Jabotiana, Aracaju - SE",aracaju,68,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.300 /mês,R$ 1.300 /mês,,2022-06-23 16:15
40,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
41,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
42,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
43,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
44,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
45,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
46,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
47,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
48,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
49,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
50,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
51,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
52,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
53,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
54,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
55,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
56,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
57,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
58,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
59,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
60,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
61,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
62,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
63,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
64,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
65,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
66,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
67,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
68,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
69,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
70,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
71,"Rua Engenheiro Antônio Gonçalves Soares, 852 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
72,"Avenida Adélia Franco - Luzia, Aracaju - SE",aracaju,80,3 Quartos,2 Banheiros,1 Vaga,Elevador Condomínio fechado Varanda Aceita animais Área de serviço ...,R$ 1.300 /mês,R$ 1.300 /mês,,2022-06-23 16:15
73,"Avenida Santos Dumont, 46 - Atalaia, Aracaju - SE",aracaju,10,1 Quarto,1 Banheiro,-- Vaga,None,R$ 1.500 /mês,R$ 1.500 /mês,,2022-06-23 16:15
74,"Avenida Murilo Dantas, 1155 - Farolândia, Aracaju - SE",aracaju,70,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Aceita animais ...,R$ 899 /mês,R$ 899 /mês,R$ 300,2022-06-23 16:15
75,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
76,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
77,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
78,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
79,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
80,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
81,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
82,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
83,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
84,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
85,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
86,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
87,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
88,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
89,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
90,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
91,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
92,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
93,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
94,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
95,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
96,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
97,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
98,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
99,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
100,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
101,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
102,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
103,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
104,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
105,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
106,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
107,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
108,"Rua Laranjeiras, 1226 - Getúlio Vargas, Aracaju - SE",aracaju,68,2 Quartos,2 Banheiros,1 Vaga,None,R$ 600 /mês,R$ 600 /mês,R$ 150,2022-06-23 16:15
109,"Rua Antônio Barbosa de Araújo, 133 - Farolândia, Aracaju - SE",aracaju,75,3 Quartos,1 Banheiro,1 Vaga,Condomínio fechado Portão eletrônico Área de serviço,R$ 800 /mês,R$ 800 /mês,R$ 370,2022-06-23 16:15
110,"Coroa do Meio, Aracaju - SE",aracaju,94,3 Quartos,3 Banheiros,1 Vaga,Condomínio fechado Elevador Área de serviço,R$ 1.300 /mês,R$ 1.300 /mês,R$ 612,2022-06-23 16:15
111,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,103,3 Quartos,3 Banheiros,,None,None,None,,2022-06-23 16:15
112,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
113,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
114,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
115,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
116,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
117,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
118,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
119,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
120,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
121,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
122,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
123,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
124,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
125,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
126,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
127,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
128,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
129,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
130,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
131,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
132,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
133,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
134,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
135,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
136,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
137,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
138,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
139,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
140,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
141,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
142,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
143,"Rua Renato Fonseca de Oliveira, 342 - Coroa do Meio, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
144,"Centro, Aracaju - SE",aracaju,47,2 Quartos,1 Banheiro,1 Vaga,Garagem Cozinha Área de serviço,R$ 900 /mês,R$ 900 /mês,R$ 85,2022-06-23 16:15
145,"Rua Professora Ofenísia Freire, 55 - Farolândia, Aracaju - SE",aracaju,10,2 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Condomínio fechado Academia Jardim ...,R$ 1.300 /mês,R$ 1.300 /mês,R$ 330,2022-06-23 16:15
146,"Rua C, 85 - São Conrado, Aracaju - SE",aracaju,49,2 Quartos,1 Banheiro,1 Vaga,Condomínio fechado Portaria 24h Portão eletrônico,R$ 550 /mês,R$ 550 /mês,R$ 200,2022-06-23 16:15
147,"Jabotiana, Aracaju - SE",aracaju,51,,,,None,None,None,,2022-06-23 16:15
148,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
149,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
150,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
151,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
152,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
153,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
154,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
155,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
156,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
157,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
158,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
159,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
160,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
161,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
162,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
163,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
164,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
165,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
166,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
167,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
168,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
169,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
170,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
171,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
172,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
173,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
174,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
175,"Jabotiana, Aracaju - SE",aracaju,,,,,None,None,None,,2022-06-23 16:15
