,address,city,area,rooms,bathrooms,garage,amenites,price_rent,condo,crawled_at
0,"Rua Professor José Freitas de Andrade, 428 - Coroa do Meio, Aracaju - SE",aracaju,99,4 Quartos,2 Banheiros,1 Vaga,Mobiliado Condomínio_fechado Aceita_animais Ar-condicionado Jardim ...,R$ 1.500 /mês,,2022-06-23 21:10
1,"Rua Napoleão Dórea, 723 - Atalaia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Elevador Aceita_animais Ar-condicionado ...,R$ 220.000 /mês,R$ 450,2022-06-23 21:10
2,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,80,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 750 /mês,R$ 400,2022-06-23 21:10
3,"Luzia, Aracaju - SE",aracaju,67,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Playground Salão_de_festas Quadra_poliesportiva ...,R$ 1.250 /mês,R$ 395,2022-06-23 21:10
4,"Avenida São João Batista, 638 - Ponto Novo, Aracaju - SE",aracaju,70,3 Quartos,1 Banheiro,1 Vaga,Piscina Mobiliado Churrasqueira Condomínio_fechado Área_de_serviço ...,R$ 1.200 /mês,R$ 380,2022-06-23 21:10
5,"Rua Matilde Silva Lima, 421 - Luzia, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Playground ...,R$ 800 /mês,R$ 375,2022-06-23 21:10
6,"Luzia, Aracaju - SE",aracaju,59,3 Quartos,1 Banheiro,1 Vaga,Área_de_serviço,R$ 850 /mês,R$ 370,2022-06-23 21:10
7,"Inácio Barbosa, Aracaju - SE",aracaju,48,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Academia Espaço_gourmet Garagem ...,R$ 700 /mês,R$ 260,2022-06-23 21:10
8,"Aruana, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,None,R$ 1.000 /mês,R$ 285,2022-06-23 21:10
9,"Aeroporto, Aracaju - SE",aracaju,75,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Varanda Academia ...,R$ 2.200 /mês,R$ 400,2022-06-23 21:10
10,"Rua Quirino, 1145 - Inácio Barbosa, Aracaju - SE",aracaju,59,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Aceita_animais ...,R$ 1.200 /mês,,2022-06-23 21:10
11,"Lamarão, Aracaju - SE",aracaju,51,2 Quartos,1 Banheiro,1 Vaga,None,R$ 600 /mês,R$ 209,2022-06-23 21:10
12,"Avenida Deputado Pedro Valadares, 940 - Jardins, Aracaju - SE",aracaju,151,4 Quartos,1 Banheiro,2 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Aceita_animais ...,R$ 2.500 /mês,R$ 1.430,2022-06-23 21:10
13,"Rua Jasiel de Brito Côrtes, 715 - Jabotiana, Aracaju - SE",aracaju,68,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 1.300 /mês,,2022-06-23 21:10
14,"Aeroporto, Aracaju - SE",aracaju,64,3 Quartos,2 Banheiros,1 Vaga,Cozinha TV_a_cabo Área_de_serviço,R$ 600 /mês,R$ 80,2022-06-23 21:10
15,"Rua Jordão de Oliveira, 1155 - Atalaia, Aracaju - SE",aracaju,88,2 Quartos,1 Banheiro,1 Vaga,Ar-condicionado Interfone Mobiliado,R$ 1.500 /mês,,2022-06-23 21:10
16,"Farolândia, Aracaju - SE",aracaju,70,3 Quartos,1 Banheiro,1 Vaga,Churrasqueira Piscina Playground Salão_de_jogos Salão_de_festas,R$ 1.200 /mês,R$ 390,2022-06-23 21:10
17,"Avenida Deputado Sílvio Teixeira, 1105 - Jardins, Aracaju - SE",aracaju,113,3 Quartos,3 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 3.500 /mês,,2022-06-23 21:10
18,"Jabotiana, Aracaju - SE",aracaju,51,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Varanda Academia Espaço_gourmet ...,R$ 800 /mês,R$ 246,2022-06-23 21:10
19,"Avenida Adelbrando Franco Menezes, 0481675 - Inácio Barbosa, Aracaju - SE",aracaju,55,2 Quartos,1 Banheiro,1 Vaga,None,R$ 720 /mês,,2022-06-23 21:10
20,"Avenida São João Batista, 1505 - Ponto Novo, Aracaju - SE",aracaju,60,3 Quartos,1 Banheiro,1 Vaga,Condomínio_fechado Aceita_animais Quadra_poliesportiva Bicicletário Portaria_24h ...,R$ 650 /mês,R$ 160,2022-06-23 21:10
21,"Avenida Adélia Franco, 3580 - Inácio Barbosa, Aracaju - SE",aracaju,68,3 Quartos,1 Banheiro,1 Vaga,Piscina Elevador Garagem Área_de_serviço Quadra_poliesportiva ...,R$ 1.400 /mês,R$ 375,2022-06-23 21:10
22,"Rua Jorge Mangueira Lobão, 179 - Aruana, Aracaju - SE",aracaju,66,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Condomínio_fechado Playground Quadra_poliesportiva ...,R$ 1.200 /mês,,2022-06-23 21:10
23,"Rua Antônio Barbosa de Araújo, 133 - Farolândia, Aracaju - SE",aracaju,75,3 Quartos,1 Banheiro,1 Vaga,Condomínio_fechado Portão_eletrônico Área_de_serviço,R$ 800 /mês,R$ 370,2022-06-23 21:10
24,"Avenida Maria Pastora, 260 - Farolândia, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,Churrasqueira Condomínio_fechado Academia Playground Salão_de_festas ...,R$ 800 /mês,R$ 215,2022-06-23 21:10
25,"Rua Tenente Waldir dos Santos, 0 - Farolândia, Aracaju - SE",aracaju,40,2 Quartos,1 Banheiro,1 Vaga,None,R$ 1.000 /mês,,2022-06-23 21:10
26,"Farolândia, Aracaju - SE",aracaju,80,3 Quartos,3 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Varanda Academia ...,R$ 1.500 /mês,R$ 355,2022-06-23 21:10
27,"Rua B1, 150 - São Conrado, Aracaju - SE",aracaju,52,3 Quartos,1 Banheiro,1 Vaga,Piscina Condomínio_fechado Playground Salão_de_festas Quadra_poliesportiva ...,R$ 600 /mês,R$ 250,2022-06-23 21:10
28,"Avenida Adélia Franco - Luzia, Aracaju - SE",aracaju,80,3 Quartos,2 Banheiros,1 Vaga,Elevador Condomínio_fechado Varanda Aceita_animais Área_de_serviço ...,R$ 1.300 /mês,,2022-06-23 21:10
29,"Rua A, 150 - Farolândia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Elevador Condomínio_fechado ...,R$ 2.000 /mês,R$ 350,2022-06-23 21:10
30,"Centro, Aracaju - SE",aracaju,59,2 Quartos,1 Banheiro,1 Vaga,Garagem Cozinha Área_de_serviço,R$ 1.000 /mês,R$ 85,2022-06-23 21:10
31,"Avenida Murilo Dantas, 1349 - Farolândia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,None,R$ 1.200 /mês,R$ 314,2022-06-23 21:10
32,"Rua Heráclito Muniz Barreto, 55 - Luzia, Aracaju - SE",aracaju,110,2 Quartos,3 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Aceita_animais ...,R$ 900 /mês,R$ 650,2022-06-23 21:10
33,"Avenida Presidente Tancredo Neves, 190 - Inácio Barbosa, Aracaju - SE",aracaju,110,2 Quartos,4 Banheiros,2 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio_fechado ...,R$ 2.900 /mês,R$ 620,2022-06-23 21:10
34,"Rua João Santana, 215 - Grageru, Aracaju - SE",aracaju,110,3 Quartos,3 Banheiros,1 Vaga,Condomínio_fechado,R$ 1.000 /mês,R$ 300,2022-06-23 21:10
35,"Grageru, Aracaju - SE",aracaju,85,3 Quartos,1 Banheiro,1 Vaga,Garagem Cozinha Área_de_serviço,R$ 850 /mês,R$ 18,2022-06-23 21:10
36,"Rua Professor José Freitas de Andrade, 428 - Coroa do Meio, Aracaju - SE",aracaju,99,4 Quartos,2 Banheiros,1 Vaga,Mobiliado Condomínio_fechado Aceita_animais Ar-condicionado Jardim ...,R$ 1.500 /mês,,2022-06-23 21:10
37,"Rua Napoleão Dórea, 723 - Atalaia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Elevador Aceita_animais Ar-condicionado ...,R$ 220.000 /mês,R$ 450,2022-06-23 21:10
38,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,80,,,,None,None,,2022-06-23 21:10
39,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
40,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
41,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
42,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
43,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
44,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
45,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
46,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
47,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
48,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
49,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
50,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
51,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
52,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
53,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
54,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
55,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
56,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
57,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
58,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
59,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
60,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
61,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
62,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
63,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
64,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
65,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
66,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
67,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
68,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
69,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
70,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
71,"Rua Maria Vasconcelos de Andrade, 1720 - Aruana, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
72,"Rua José Seabra Batista, 255 - Jardins, Aracaju - SE",aracaju,210,4 Quartos,5 Banheiros,3 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio_fechado ...,R$ 4.500 /mês,,2022-06-23 21:10
73,"Avenida Doutor Francisco Moreira, 1660 - Luzia, Aracaju - SE",aracaju,78,3 Quartos,1 Banheiro,2 Vagas,Piscina Elevador Academia Garagem Área_de_serviço ...,R$ 1.600 /mês,R$ 230,2022-06-23 21:10
74,"Avenida Maranhão, 1526 - Dezoito do Forte, Aracaju - SE",aracaju,75,2 Quartos,1 Banheiro,-- Vaga,None,R$ 550 /mês,,2022-06-23 21:10
75,"Rua Anna Dulce Vieira de Carvalho, 130 - Jardins, Aracaju - SE",aracaju,80,2 Quartos,1 Banheiro,2 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Área_de_serviço ...,R$ 2.500 /mês,R$ 630,2022-06-23 21:10
76,"Rua Eliza Correia Oliveira, 1697 - Aruana, Aracaju - SE",aracaju,68,3 Quartos,2 Banheiros,1 Vaga,None,R$ 1.500 /mês,R$ 274,2022-06-23 21:10
77,"Rua Euclides Góis, 785 - Coroa do Meio, Aracaju - SE",aracaju,75,3 Quartos,2 Banheiros,1 Vaga,Varanda Área_de_serviço,R$ 2.620 /mês,,2022-06-23 21:10
78,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,50,2 Quartos,1 Banheiro,1 Vaga,Mobiliado Churrasqueira Condomínio_fechado Aceita_animais Salão_de_festas ...,R$ 850 /mês,,2022-06-23 21:10
79,"Jabotiana, Aracaju - SE",aracaju,51,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Varanda Academia ...,R$ 800 /mês,R$ 246,2022-06-23 21:10
80,"Rua Engenheiro Antônio Gonçalves Soares - Luzia, Aracaju - SE",aracaju,72,3 Quartos,2 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 2.000 /mês,,2022-06-23 21:10
81,"Avenida Franklin de Campos Sobral, 28 - Grageru, Aracaju - SE",aracaju,64,2 Quartos,1 Banheiro,1 Vaga,Garagem Cozinha Área_de_serviço,R$ 800 /mês,R$ 150,2022-06-23 21:10
82,"Rua Tenente Antônio Fontes Pitanga, 256 - Farolândia, Aracaju - SE",aracaju,70,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Condomínio_fechado Academia Aceita_animais ...,R$ 1.700 /mês,,2022-06-23 21:10
83,"Avenida Santos Dumont, 46 - Atalaia, Aracaju - SE",aracaju,10,1 Quarto,1 Banheiro,-- Vaga,None,R$ 1.500 /mês,,2022-06-23 21:10
84,"Avenida Deputado Sílvio Teixeira, 118484545 - Jardins, Aracaju - SE",aracaju,55,2 Quartos,1 Banheiro,1 Vaga,None,R$ 720 /mês,,2022-06-23 21:10
85,"Treze de Julho, Aracaju - SE",aracaju,156,3 Quartos,3 Banheiros,1 Vaga,Área_de_serviço,R$ 1.100 /mês,R$ 500,2022-06-23 21:10
86,"Farolândia, Aracaju - SE",aracaju,52,2 Quartos,1 Banheiro,1 Vaga,None,R$ 650 /mês,,2022-06-23 21:10
87,"Rua Homero de Oliveira, 397 - Treze de Julho, Aracaju - SE",aracaju,95,3 Quartos,3 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Espaço_gourmet ...,R$ 1.200 /mês,R$ 780,2022-06-23 21:10
88,"Avenida Deputado Sílvio Teixeira, 0 - Jardins, Aracaju - SE",aracaju,124,3 Quartos,2 Banheiros,1 Vaga,Piscina Elevador Condomínio_fechado Varanda Academia ...,R$ 1.200 /mês,R$ 790,2022-06-23 21:10
89,"Rua José Araújo Neto, 323 - São Conrado, Aracaju - SE",aracaju,67,3 Quartos,1 Banheiro,1 Vaga,Condomínio_fechado Aceita_animais,R$ 650 /mês,,2022-06-23 21:10
90,"Inácio Barbosa, Aracaju - SE",aracaju,47,2 Quartos,1 Banheiro,1 Vaga,Piscina Mobiliado Churrasqueira Espaço_gourmet Garagem ...,R$ 1.200 /mês,,2022-06-23 21:10
91,"Centro, Aracaju - SE",aracaju,122,3 Quartos,3 Banheiros,-- Vaga,Área_de_serviço,R$ 800 /mês,R$ 900,2022-06-23 21:10
92,"Jabotiana, Aracaju - SE",aracaju,72,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Varanda Academia ...,R$ 1.800 /mês,R$ 320,2022-06-23 21:10
93,"Rua São Cristóvão, 212 - Centro, Aracaju - SE",aracaju,49,1 Quarto,1 Banheiro,-- Vaga,None,R$ 500 /mês,R$ 188,2022-06-23 21:10
94,"Avenida Franklin de Campos Sobral, 0 - Grageru, Aracaju - SE",aracaju,60,2 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Jardim ...,R$ 1.200 /mês,R$ 460,2022-06-23 21:10
95,"Rua Palmira Ramos Teles, 1600 - Luzia, Aracaju - SE",aracaju,68,3 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Condomínio_fechado Academia Salão_de_festas ...,R$ 1.200 /mês,R$ 270,2022-06-23 21:10
96,"Rua Matilde Silva Lima, 242 - Luzia, Aracaju - SE",aracaju,46,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Aceita_animais ...,R$ 1.300 /mês,,2022-06-23 21:10
97,"Rua Jasiel de Brito Côrtes, 715 - Jabotiana, Aracaju - SE",aracaju,68,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 1.300 /mês,,2022-06-23 21:10
98,"Rua Armando Barros, 421 - Luzia, Aracaju - SE",aracaju,65,3 Quartos,1 Banheiro,1 Vaga,Garagem Cozinha Elevador Área_de_serviço,R$ 950 /mês,R$ 430,2022-06-23 21:10
99,"Jabotiana, Aracaju - SE",aracaju,79,3 Quartos,1 Banheiro,1 Vaga,Piscina Mobiliado Churrasqueira Varanda Espaço_gourmet ...,R$ 2.000 /mês,,2022-06-23 21:10
100,"Aeroporto, Aracaju - SE",aracaju,74,3 Quartos,2 Banheiros,1 Vaga,Área_de_serviço,R$ 950 /mês,R$ 350,2022-06-23 21:10
101,"Rua Laranjeiras, 1226 - Getúlio Vargas, Aracaju - SE",aracaju,68,2 Quartos,2 Banheiros,1 Vaga,None,R$ 600 /mês,R$ 150,2022-06-23 21:10
102,"Rua Gervásio de Araújo Souza, 2151 - Coroa do Meio, Aracaju - SE",aracaju,61,2 Quartos,1 Banheiro,1 Vaga,Piscina Mobiliado Elevador Condomínio_fechado Varanda ...,R$ 1.500 /mês,,2022-06-23 21:10
103,"Rua Expedicionário Alfredo Antônio da Silva, 06 - São Conrado, Aracaju - SE",aracaju,40,1 Quarto,1 Banheiro,-- Vaga,None,R$ 750 /mês,,2022-06-23 21:10
104,"Luzia, Aracaju - SE",aracaju,104,4 Quartos,3 Banheiros,2 Vagas,Piscina Mobiliado Churrasqueira Varanda Academia ...,R$ 2.350 /mês,R$ 475,2022-06-23 21:10
105,"Avenida Adelbrando Franco Menezes, 484846 - Inácio Barbosa, Aracaju - SE",aracaju,55,2 Quartos,1 Banheiro,1 Vaga,None,R$ 720 /mês,,2022-06-23 21:10
106,"Avenida Maria Pastora, 260 - Farolândia, Aracaju - SE",aracaju,58,2 Quartos,1 Banheiro,-- Vaga,Salão_de_festas,R$ 700 /mês,R$ 210,2022-06-23 21:10
107,"Jardins, Aracaju - SE",aracaju,104,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Varanda Academia ...,R$ 1.800 /mês,R$ 710,2022-06-23 21:10
108,"Rua José Seabra Batista, 255 - Jardins, Aracaju - SE",aracaju,210,4 Quartos,5 Banheiros,3 Vagas,Piscina Mobiliado Churrasqueira Elevador Condomínio_fechado ...,R$ 4.500 /mês,,2022-06-23 21:10
109,"Avenida Doutor Francisco Moreira, 1660 - Luzia, Aracaju - SE",aracaju,78,3 Quartos,1 Banheiro,2 Vagas,Piscina Elevador Academia Garagem Área_de_serviço ...,R$ 1.600 /mês,R$ 230,2022-06-23 21:10
110,"Avenida Maranhão, 1526 - Dezoito do Forte, Aracaju - SE",aracaju,75,2 Quartos,1 Banheiro,-- Vaga,None,R$ 550 /mês,,2022-06-23 21:10
111,"Rua Anna Dulce Vieira de Carvalho, 130 - Jardins, Aracaju - SE",aracaju,80,2 Quartos,1 Banheiro,2 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Área_de_serviço ...,R$ 2.500 /mês,R$ 630,2022-06-23 21:10
112,"Rua Eliza Correia Oliveira, 1697 - Aruana, Aracaju - SE",aracaju,68,3 Quartos,2 Banheiros,1 Vaga,None,R$ 1.500 /mês,R$ 274,2022-06-23 21:10
113,"Rua Euclides Góis, 785 - Coroa do Meio, Aracaju - SE",aracaju,75,3 Quartos,2 Banheiros,1 Vaga,Varanda Área_de_serviço,R$ 2.620 /mês,,2022-06-23 21:10
114,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,50,2 Quartos,,,None,None,,2022-06-23 21:10
115,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
116,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
117,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
118,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
119,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
120,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
121,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
122,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
123,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
124,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
125,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
126,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
127,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
128,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
129,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
130,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
131,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
132,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
133,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
134,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
135,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
136,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
137,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
138,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
139,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
140,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
141,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
142,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
143,"Zona de Expansao Mosqueiro, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
144,"Avenida Empresário José Carlos Silva, 0 - Farolândia, Aracaju - SE",aracaju,55,3 Quartos,1 Banheiro,1 Vaga,None,R$ 800 /mês,,2022-06-23 21:10
145,"Inácio Barbosa, Aracaju - SE",aracaju,60,3 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Condomínio_fechado Aceita_animais Espaço_gourmet ...,R$ 980 /mês,R$ 200,2022-06-23 21:10
146,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,10,2 Quartos,2 Banheiros,1 Vaga,Área_de_serviço Varanda Condomínio_fechado Elevador,None,,2022-06-23 21:10
147,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
148,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
149,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
150,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
151,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
152,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
153,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
154,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
155,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
156,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
157,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
158,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:10
159,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:11
160,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:11
161,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:11
162,"Rua João Batista Ribeiro, 0 - Farolândia, Aracaju - SE",aracaju,,,,,None,None,,2022-06-23 21:11
